"","Em","Fu","Un"
"2020-06-22",23891075,9100000,1335531
"2020-06-23",23892450.8934234,9102167.84476961,1331987.26180704
"2020-06-24",23893807.2241168,9104319.41595558,1328479.35992768
"2020-06-25",23895144.270227,9106454.80009928,1325006.92967372
"2020-06-26",23896462.3059462,9108574.0839535,1321569.61010027
"2020-06-27",23897761.601568,9110677.35446511,1318167.04396688
"2020-06-28",23899042.4235428,9112764.69875809,1314798.87769911
"2020-06-29",23900305.0345326,9114836.20411693,1311464.76135043
"2020-06-30",23901549.693465,9116891.95797043,1308164.34856458
"2020-07-01",23902776.6555859,9118932.04787583,1304897.29653834
"2020-07-02",23903986.172512,9120956.56150337,1301663.26598465
"2020-07-03",23905178.4922827,9122965.58662116,1298461.92109612
"2020-07-04",23906353.8594107,9124959.21108034,1295292.92950896
"2020-07-05",23907512.514932,9126937.52280074,1292155.96226727
"2020-07-06",23908654.6964556,9128900.60975674,1289050.69378767
"2020-07-07",23909780.6382122,9130848.5599635,1285976.80182437
"2020-07-08",23910890.5711019,9132781.46146354,1282933.96743459
"2020-07-09",23911984.7227421,9134699.40231363,1279921.87494427
"2020-07-10",23913063.3175139,9136602.47057193,1276940.21191423
"2020-07-11",23914126.5766078,9138490.75428557,1273988.66910668
"2020-07-12",23915174.7180696,9140364.34147839,1271066.94045201
"2020-07-13",23916207.9568449,9142223.32013907,1268174.723016
"2020-07-14",23917226.5048231,9144067.77820951,1265311.71696735
"2020-07-15",23918230.5708809,9145897.80357354,1262477.62554554
"2020-07-16",23919220.3609251,9147713.48404578,1259672.15502905
"2020-07-17",23920196.0779351,9149514.90736103,1256895.01470387
"2020-07-18",23921157.9220039,9151302.16116359,1254145.91683244
"2020-07-19",23922106.09038,9153075.33299718,1251424.57662278
"2020-07-20",23923040.777507,9154834.5102949,1248730.71219804
"2020-07-21",23923962.1750641,9156579.78036949,1246064.04456636
"2020-07-22",23924870.4720051,9158311.23040392,1243424.29759098
"2020-07-23",23925765.8545971,9160028.94744212,1240811.19796078
"2020-07-24",23926648.506459,9161733.01838004,1238224.47516098
"2020-07-25",23927518.6085988,9163423.52995687,1235663.86144432
"2020-07-26",23928376.3394511,9165100.56874656,1233129.09180235
"2020-07-27",23929221.8749132,9166764.22114952,1230619.90393722
"2020-07-28",23930055.3883818,9168414.57338457,1228136.03823359
"2020-07-29",23930877.0507879,9170051.71148111,1225677.23773095
"2020-07-30",23931687.0306324,9171675.72127144,1223243.24809617
"2020-07-31",23932485.4940202,9173286.68838344,1220833.8175964
"2020-08-01",23933272.6046946,9174884.69823326,1218448.69707214
"2020-08-02",23934048.5240708,9176469.83601841,1216087.63991074
"2020-08-03",23934813.411269,9178042.1867109,1213750.40202006
"2020-08-04",23935567.4231469,9179601.83505064,1211436.74180245
"2020-08-05",23936310.714332,9181148.86553903,1209146.420129
"2020-08-06",23937043.4372532,9182683.36243275,1206879.20031408
"2020-08-07",23937765.7421722,9184205.40973768,1204634.8480901
"2020-08-08",23938477.7772144,9185715.09120306,1202413.13158258
"2020-08-09",23939179.6883988,9187212.49031579,1200213.82128542
"2020-08-10",23939871.6196686,9188697.69029492,1198036.69003652
"2020-08-11",23940553.7129201,9190170.77408632,1195881.51299359
"2020-08-12",23941226.1080323,9191631.8243575,1193748.06761018
"2020-08-13",23941888.9428954,9193080.92349258,1191636.13361208
"2020-08-14",23942542.3534387,9194518.15358745,1189545.49297383
"2020-08-15",23943186.4736593,9195943.59644511,1187475.92989558
"2020-08-16",23943821.4356488,9197357.33357107,1185427.23078013
"2020-08-17",23944447.3696208,9198759.44616901,1183399.18421022
"2020-08-18",23945064.4039374,9200150.0151365,1181391.5809261
"2020-08-19",23945672.6651357,9201529.12106097,1179404.21380328
"2020-08-20",23946272.2779538,9202896.84421566,1177436.87783051
"2020-08-21",23946863.365356,9204253.2645559,1175489.37008808
"2020-08-22",23947446.0485584,9205598.4617154,1173561.48972619
"2020-08-23",23948020.4470536,9206932.51500268,1171653.03794371
"2020-08-24",23948586.6786352,9208255.50339769,1169763.81796705
"2020-08-25",23949144.8594222,9209567.50554853,1167893.63502931
"2020-08-26",23949695.1038822,9210868.59976826,1166042.29634957
"2020-08-27",23950237.5248555,9212158.86403192,1164209.61111253
"2020-08-28",23950772.2335782,9213438.37597356,1162395.39044821
"2020-08-29",23951299.3397045,9214707.21288349,1160599.44741199
"2020-08-30",23951818.9513297,9215965.45170555,1158821.59696475
"2020-08-31",23952331.1750121,9217213.16903462,1157061.6559533
"2020-09-01",23952836.1157949,9218450.44111408,1155319.44309099
"2020-09-02",23953333.8772279,9219677.34383356,1153594.77893847
"2020-09-03",23953824.5613886,9220893.95272659,1151887.48588477
"2020-09-04",23954308.268903,9222100.34296856,1150197.3881284
"2020-09-05",23954785.0989665,9223296.58937464,1148524.31165884
"2020-09-06",23955255.149364,9224482.76639785,1146868.08423808
"2020-09-07",23955718.5164903,9225658.94812724,1145228.53538241
"2020-09-08",23956175.2953694,9226825.20828614,1143605.49634442
"2020-09-09",23956625.5796743,9227981.62023051,1141998.80009511
"2020-09-10",23957069.4617463,9229128.25694739,1140408.28130627
"2020-09-11",23957507.0326135,9230265.19105344,1138833.77633301
"2020-09-12",23957938.38201,9231392.49479356,1137275.12319645
"2020-09-13",23958363.5983937,9232510.2400396,1135732.16156662
"2020-09-14",23958782.7689653,9233618.49828913,1134204.73274552
"2020-09-15",23959195.9796852,9234717.34066435,1132692.6796504
"2020-09-16",23959603.3152918,9235806.83791102,1131195.84679711
"2020-09-17",23960004.8593187,9236887.0603975,1129714.08028374
"2020-09-18",23960400.6941117,9237958.07811386,1128247.22777439
"2020-09-19",23960790.9008458,9239019.96067106,1126795.13848305
"2020-09-20",23961175.559542,9240072.77730023,1125357.66315774
"2020-09-21",23961554.7490833,9241116.59685193,1123934.65406473
"2020-09-22",23961928.5472313,9242151.48779567,1122525.96497301
"2020-09-23",23962297.0306419,9243177.51821925,1121131.45113884
"2020-09-24",23962660.274881,9244194.75582837,1119750.96929051
"2020-09-25",23963018.3544405,9245203.26794622,1118384.37761325
"2020-09-26",23963371.3427525,9246203.12151312,1117031.53573427
"2020-09-27",23963719.3122057,9247194.38308628,1115692.304708
"2020-09-28",23964062.334159,9248177.11883953,1114366.54700143
"2020-09-29",23964400.478957,9249151.39456325,1113054.12647966
"2020-09-30",23964733.8159442,9250117.27566418,1111754.90839155
"2020-10-01",24402430.4052484,7952607.4163557,1971568.17839581
"2020-10-02",24787291.2194353,6837098.69117683,2702216.08938781
"2020-10-03",25126638.8187687,5878061.88153487,3321905.29969641
"2020-10-04",25426769.5501781,5053548.74103858,3846287.70878322
"2020-10-05",25693097.484228,4344689.69411124,4288818.82166073
"2020-10-06",25930278.1622097,3735261.99219699,4661065.84559325
"2020-10-07",26142314.9853824,3211318.44450529,4972972.57011227
"2020-10-08",26332650.6811378,2760868.22652948,5233087.09233265
"2020-10-09",26504245.9393429,2373602.4614134,5448757.59924366
"2020-10-10",26659647.0184915,2040658.29389833,5626300.68761017
"2020-10-11",26801043.868865,1754416.057513,5771146.07362196
"2020-10-12",26930320.1028759,1508324.8930322,5887961.00409193
"2020-10-13",27049095.9561842,1296752.82735704,5980757.21645878
"2020-10-14",27158765.2227688,1114857.88176447,6052982.89546668
"2020-10-15",27260527.0092222,958477.259745456,6107601.73103231
"2020-10-16",27355413.0349727,824032.078416292,6147160.88661096
"2020-10-17",27444311.1032054,708445.46321256,6173849.433582
"2020-10-18",27527985.2796139,609072.131404217,6189548.58898185
"2020-10-19",27607093.2407738,523637.852899867,6195874.90632629
"2020-10-20",27682201.1891529,450187.40285723,6194217.40798981
"2020-10-21",27753796.6760838,387039.814957942,6185769.50895828
"2020-10-22",27822299.6261469,332749.911285688,6171556.46256735
"2020-10-23",27888071.815252,286075.228391335,6152458.95635667
"2020-10-24",27951425.0193135,245947.582624268,6129233.39806225
"2020-10-25",28012628.0199971,211448.623982129,6102529.35602072
"2020-10-26",28071912.6278531,181788.819011243,6072904.55313564
"2020-10-27",28129478.8606661,156289.381766303,6040837.7575676
"2020-10-28",28185499.3955192,134366.739306352,6006739.8651744
"2020-10-29",28240123.3964466,115519.176208769,5970963.42734463
"2020-10-30",28293479.8052592,99315.3524513768,5933810.8422894
"2020-10-31",28345680.1708447,85384.4318861449,5895541.39726917
"2020-11-01",28396821.0816772,73407.595387521,5856377.32293528
"2020-11-02",28446986.2571951,63110.7444476937,5816508.9983572
"2020-11-03",28496248.3458955,54258.2282353194,5776099.42586923
"2020-11-04",28544670.4712836,46647.4505569487,5735288.07815943
"2020-11-05",28592307.5610455,40104.233297587,5694194.20565699
"2020-11-06",28639207.4898483,34478.8302293983,5652919.67992235
"2020-11-07",28685412.0619128,29642.4999616985,5611551.43812555
"2020-11-08",28730957.8558296,25484.5596017377,5570163.58456873
"2020-11-09",28775876.9509431,21909.8516971815,5528819.19735981
"2020-11-10",28820197.5519144,18836.5664894501,5487571.88159623
"2020-11-11",28863944.5257448,16194.3696386186,5446467.1046166
"2020-11-12",28907139.8635385,13922.7925715176,5405543.34388998
"2020-11-13",28949803.0775601,11969.8486149932,5364833.0738249
"2020-11-14",28991951.5426631,10290.8432435431,5324363.61409339
"2020-11-15",29033600.7898912,8847.3512129908,5284157.85889585
"2020-11-16",29074764.7589609,7606.33717116655,5244234.90386801
"2020-11-17",29115456.0153917,6539.39962013917,5204610.58498816
"2020-11-18",29155685.9372435,5622.12092753152,5165297.94182902
"2020-11-19",29195464.8757214,4833.50851146106,5126307.61576718
"2020-11-20",29234802.2933157,4155.51441022175,5087648.19227409
"2020-11-21",29273706.8826254,3572.62224171419,5049326.49513292
"2020-11-22",29312186.6685748,3071.49209989379,5011347.83932532
"2020-11-23",29350249.0963526,2640.65526143715,4973716.24838602
"2020-11-24",29387901.1070744,2270.25171576929,4936434.64120993
"2020-11-25",29425149.2028911,1951.80451163791,4899504.99259736
"2020-11-26",29461999.5030225,1678.02575599385,4862928.47122156
"2020-11-27",29498457.7919885,1442.64982532283,4826705.55818623
"2020-11-28",29534529.5611314,1240.28997234987,4790836.14889628
"2020-11-29",29570220.0443707,1066.31504645794,4755319.64058289
"2020-11-30",29605534.2489976,916.74350647886,4720155.00749593
"2020-12-01",29640476.9822057,788.152300263268,4685340.8654941
"2020-12-02",29675052.8739539,677.5985256729,4650875.52752048
"2020-12-03",29709266.3966772,582.552080150906,4616757.05124274
"2020-12-04",29743121.8822851,500.837757507122,4582983.2799574
"2020-12-05",29776623.5368295,430.585466761675,4549551.87770376
"2020-12-06",29809775.4531662,370.187433769375,4516460.35940007
"2020-12-07",29842581.621893,318.261406153322,4483706.11670084
"2020-12-08",29875045.9408046,273.619019466212,4451286.44017592
"2020-12-09",29907172.2230715,235.2386006162,4419198.53832796
"2020-12-10",29938964.2043218,202.241786144187,4387439.55389204
"2020-12-11",29970425.5487803,173.873420245021,4356006.5777995
"2020-12-12",30001559.8545937,149.484272484362,4324896.66113382
"2020-12-13",30032370.6584594,128.516179693767,4294106.82536099
"2020-12-14",30062861.4396514,110.489272005578,4263634.07107669
"2020-12-15",30093035.6235304,94.9909906862459,4233475.38547898
"2020-12-16",30122896.5846079,81.6666464333204,4203627.74874569
"2020-12-17",30152447.6492274,70.2113020559396,4174088.13947062
"2020-12-18",30181692.0979151,60.3627937681432,4144853.53929114
"2020-12-19",30210633.1674477,51.8957313822832,4115920.93682096
"2020-12-20",30239274.0526738,44.616340092652,4087287.33098617
"2020-12-21",30267617.9081257,38.3580257998401,4058949.73384852
"2020-12-22",30295667.849449,32.9775624850841,4030905.17298856
"2020-12-23",30323426.9546751,28.3518143799299,4003150.69351059
"2020-12-24",30350898.265359,24.3749179157063,3975683.35972318
"2020-12-25",30378084.7876002,20.9558589597005,3948500.25654094
"2020-12-26",30404989.4929628,18.0163898913435,3921598.49064735
"2020-12-27",30431615.3193088,15.4892388491979,3894975.19145244
"2020-12-28",30457965.1715554,13.3165701660784,3868627.51187452
"2020-12-29",30484041.922368,11.4486607582575,3842552.62897125
"2020-12-30",30509848.4127965,9.84276217697162,3816747.74444134
"2020-12-31",30535387.4528621,8.46212227945938,3791210.08501572
"2021-01-01",30560661.822102,7.27514412977056,3765936.90275391
"2021-01-02",30585674.2700778,6.25466288018665,3740925.47525934
"2021-01-03",30610427.5168505,5.37732408416472,3716173.10582551
"2021-01-04",30634924.2534279,4.62304921304967,3691677.12352296
"2021-01-05",30659167.1421882,3.97457614452098,3667434.88323575
"2021-01-06",30683158.8172809,3.41706410652166,3643443.7656551
"2021-01-07",30706901.8850097,2.93775403552771,3619701.17723636
"2021-01-08",30730398.9241985,2.52567657621282,3596204.55012501
"2021-01-09",30753652.4865427,2.17140103987101,3572951.34205636
"2021-01-10",30776665.0969475,1.86681957633027,3549939.03623299
"2021-01-11",30799439.2538549,1.60496161997645,3527165.1411835
"2021-01-12",30821977.4295602,1.3798343633513,3504627.19060552
"2021-01-13",30844282.070519,1.18628560744838,3482322.74319547
"2021-01-14",30866355.5976467,1.01988584993725,3460249.38246754
"2021-01-15",30888200.4066097,0.876826912820393,3438404.71656347
"2021-01-16",30909818.8681103,0.753834789543795,3416786.37805498
"2021-01-17",30931213.3281652,0.648094717004815,3395392.02374014
"2021-01-18",30952386.1083784,0.557186757676364,3374219.33443494
"2021-01-19",30973339.5062087,0.479030417598038,3353266.01476097
"2021-01-20",30994075.7952328,0.411837032777143,3332529.7929303
"2021-01-21",31014597.2254032,0.354068834328187,3312008.42052802
"2021-01-22",31034906.023303,0.304403755527151,3291699.67229338
"2021-01-23",31055004.3923951,0.261705175364702,3271601.34589983
"2021-01-24",31074894.5132696,0.224995906157801,3251711.2617346
"2021-01-25",31094578.5438861,0.193435829907543,3232027.26267813
"2021-01-26",31114058.6198137,0.166302671595177,3212547.2138837
"2021-01-27",31133336.854467,0.142975469399398,3193269.00255759
"2021-01-28",31152415.3393398,0.122920363538953,3174190.53773996
"2021-01-29",31171296.144235,0.105678378507999,3155309.7500867
"2021-01-30",31189981.3174928,0.0908549190919111,3136624.5916524
"2021-01-31",31208472.8862148,0.0781107397723073,3118133.03567459
"2021-02-01",31226772.8564865,0.0671541808496346,3099833.0763594
"2021-02-02",31244883.2135969,0.0577344936014068,3081722.72866871
"2021-02-03",31262805.9222552,0.0496361017175452,3063800.02810884
"2021-02-04",31280542.9268054,0.0426736676816449,3046063.03052102
"2021-02-05",31298096.1514388,0.0366878511887603,3028509.81187341
"2021-02-06",31315467.5004034,0.0315416625280505,3011138.46805503
"2021-02-07",31332658.8582114,0.0271173274748295,2993947.11467139
"2021-02-08",31349672.0898445,0.0233135919428212,2976933.88684199
"2021-02-09",31366509.040957,0.0200434047116508,2960096.93899968
"2021-02-10",31383171.5380763,0.0172319251971266,2943434.44469183
"2021-02-11",31399661.3888019,0.0148148106707021,2926944.59638342
"2021-02-12",31415980.3820013,0.0127367437299082,2910625.60526201
"2021-02-13",31432130.2880053,0.0109501663198553,2894475.70104459
"2021-02-14",31448112.8587996,0.00941419133298039,2878493.13178628
"2021-02-15",31463929.8282155,0.00809366687821542,2862676.16369097
"2021-02-16",31479582.9121179,0.00695837180470632,2847023.08092379
"2021-02-17",31495073.8085923,0.00598232406906372,2831532.18542547
"2021-02-18",31510404.1981283,0.00514318611763367,2816201.79672856
"2021-02-19",31525575.7438029,0.00442175367553428,2801030.25177547
"2021-02-20",31540590.0914602,0.00380151624302808,2786015.90473839
"2021-02-21",31555448.8698908,0.00326827924087384,2771157.12684101
"2021-02-22",31570153.6910082,0.00280983915718285,2756452.30618205
"2021-02-23",31584706.1500238,0.00241570426128187,2741899.84756062
"2021-02-24",31599107.8256199,0.00207685449291916,2727498.17230331
"2021-02-25",31613360.2801214,0.00178553503170527,2713245.7180931
"2021-02-26",31627465.059665,0.00153507882247717,2699140.93879999
"2021-02-27",31641423.6943669,0.00131975399495094,2685182.30431338
"2021-02-28",31655237.6984892,0.00113463268575244,2671368.3003762
"2021-03-01",31668908.5706039,0.000975478260723627,2657697.42842068
"2021-03-02",31682437.7937555,0.000838648356506104,2644168.20540588
"2021-03-03",31695826.8356222,0.000721011522438896,2630779.16365687
"2021-03-04",31709077.1486747,0.00061987555506033,2617528.85070552
