"","V1","V2"
"1",23891075,23891075
"2",23892450.8934234,23892450.8934234
"3",23893807.2241168,23893807.2241168
"4",23895144.270227,23895144.270227
"5",23896462.3059462,23896462.3059462
"6",23897761.601568,23897761.601568
"7",23899042.4235428,23899042.4235428
"8",23900305.0345326,23900305.0345326
"9",23901549.693465,23901549.693465
"10",23902776.6555859,23902776.6555859
"11",23903986.172512,23903986.172512
"12",23905178.4922827,23905178.4922827
"13",23906353.8594107,23906353.8594107
"14",23907512.514932,23907512.514932
"15",23908654.6964556,23908654.6964556
"16",23909780.6382122,23909780.6382122
"17",23910890.5711019,23910890.5711019
"18",23911984.7227421,23911984.7227421
"19",23913063.3175139,23913063.3175139
"20",23914126.5766078,23914126.5766078
"21",23915174.7180696,23915174.7180696
"22",23916207.9568449,23916207.9568449
"23",23917226.5048231,23917226.5048231
"24",23918230.5708809,23918230.5708809
"25",23919220.3609251,23919220.3609251
"26",23920196.0779351,23920196.0779351
"27",23921157.9220039,23921157.9220039
"28",23922106.09038,23922106.09038
"29",23923040.777507,23923040.777507
"30",23923962.1750641,23923962.1750641
"31",23924870.4720051,23924870.4720051
"32",23925765.8545971,23925765.8545971
"33",23926648.506459,23926648.506459
"34",23927518.6085988,23927518.6085988
"35",23928376.3394511,23928376.3394511
"36",23929221.8749132,23929221.8749132
"37",23930055.3883818,23930055.3883818
"38",23930877.0507879,23930877.0507879
"39",23931687.0306324,23931687.0306324
"40",23932485.4940202,23932485.4940202
"41",23933272.6046946,23933272.6046946
"42",23934048.5240708,23934048.5240708
"43",23934813.411269,23934813.411269
"44",23935567.4231469,23935567.4231469
"45",23936310.714332,23936310.714332
"46",23937043.4372532,23937043.4372532
"47",23937765.7421722,23937765.7421722
"48",23938477.7772144,23938477.7772144
"49",23939179.6883988,23939179.6883988
"50",23939871.6196686,23939871.6196686
"51",23940553.7129201,23940553.7129201
"52",23941226.1080323,23941226.1080323
"53",23941888.9428954,23941888.9428954
"54",23942542.3534387,23942542.3534387
"55",23943186.4736593,23943186.4736593
"56",23943821.4356488,23943821.4356488
"57",23944447.3696208,23944447.3696208
"58",23945064.4039374,23945064.4039374
"59",23945672.6651357,23945672.6651357
"60",23946272.2779538,23946272.2779538
"61",23946863.365356,23946863.365356
"62",23947446.0485584,23947446.0485584
"63",23948020.4470536,23948020.4470536
"64",23948586.6786352,23948586.6786352
"65",23949144.8594222,23949144.8594222
"66",23949695.1038822,23949695.1038822
"67",23950237.5248555,23950237.5248555
"68",23950772.2335782,23950772.2335782
"69",23951299.3397045,23951299.3397045
"70",23951818.9513297,23951818.9513297
"71",23952331.1750121,23952331.1750121
"72",23952836.1157949,23952836.1157949
"73",23953333.8772279,23953333.8772279
"74",23953824.5613886,23953824.5613886
"75",23954308.268903,23954308.268903
"76",23954785.0989665,23954785.0989665
"77",23955255.149364,23955255.149364
"78",23955718.5164903,23955718.5164903
"79",23956175.2953694,23956175.2953694
"80",23956625.5796743,23956625.5796743
"81",23957069.4617463,23957069.4617463
"82",23957507.0326135,23957507.0326135
"83",23957938.38201,23957938.38201
"84",23958363.5983937,23958363.5983937
"85",23958782.7689653,23958782.7689653
"86",23959195.9796852,23959195.9796852
"87",23959603.3152918,23959603.3152918
"88",23960004.8593187,23960004.8593187
"89",23960400.6941117,23960400.6941117
"90",23960790.9008458,23960790.9008458
"91",23961175.559542,23961175.559542
"92",23961554.7490833,23961554.7490833
"93",23961928.5472313,23961928.5472313
"94",23962297.0306419,23962297.0306419
"95",23962660.274881,23962660.274881
"96",23963018.3544405,23963018.3544405
"97",23963371.3427525,23963371.3427525
"98",23963719.3122057,23963719.3122057
"99",23964062.334159,23964062.334159
"100",23964400.478957,23964400.478957
