"","V1","V2"
"1",9100000,9100000
"2",9102167.84476961,9102167.84476961
"3",9104319.41595558,9104319.41595558
"4",9106454.80009928,9106454.80009928
"5",9108574.0839535,9108574.0839535
"6",9110677.35446511,9110677.35446511
"7",9112764.69875809,9112764.69875809
"8",9114836.20411693,9114836.20411693
"9",9116891.95797043,9116891.95797043
"10",9118932.04787583,9118932.04787583
"11",9120956.56150337,9120956.56150337
"12",9122965.58662116,9122965.58662116
"13",9124959.21108034,9124959.21108034
"14",9126937.52280074,9126937.52280074
"15",9128900.60975674,9128900.60975674
"16",9130848.5599635,9130848.5599635
"17",9132781.46146354,9132781.46146354
"18",9134699.40231363,9134699.40231363
"19",9136602.47057193,9136602.47057193
"20",9138490.75428557,9138490.75428557
"21",9140364.34147839,9140364.34147839
"22",9142223.32013907,9142223.32013907
"23",9144067.77820951,9144067.77820951
"24",9145897.80357354,9145897.80357354
"25",9147713.48404578,9147713.48404578
"26",9149514.90736103,9149514.90736103
"27",9151302.16116359,9151302.16116359
"28",9153075.33299718,9153075.33299718
"29",9154834.5102949,9154834.5102949
"30",9156579.78036949,9156579.78036949
"31",9158311.23040392,9158311.23040392
"32",9160028.94744212,9160028.94744212
"33",9161733.01838004,9161733.01838004
"34",9163423.52995687,9163423.52995687
"35",9165100.56874656,9165100.56874656
"36",9166764.22114952,9166764.22114952
"37",9168414.57338457,9168414.57338457
"38",9170051.71148111,9170051.71148111
"39",9171675.72127144,9171675.72127144
"40",9173286.68838344,9173286.68838344
"41",9174884.69823326,9174884.69823326
"42",9176469.83601841,9176469.83601841
"43",9178042.1867109,9178042.1867109
"44",9179601.83505064,9179601.83505064
"45",9181148.86553903,9181148.86553903
"46",9182683.36243275,9182683.36243275
"47",9184205.40973768,9184205.40973768
"48",9185715.09120306,9185715.09120306
"49",9187212.49031579,9187212.49031579
"50",9188697.69029492,9188697.69029492
"51",9190170.77408632,9190170.77408632
"52",9191631.8243575,9191631.8243575
"53",9193080.92349258,9193080.92349258
"54",9194518.15358745,9194518.15358745
"55",9195943.59644511,9195943.59644511
"56",9197357.33357107,9197357.33357107
"57",9198759.44616901,9198759.44616901
"58",9200150.0151365,9200150.0151365
"59",9201529.12106097,9201529.12106097
"60",9202896.84421566,9202896.84421566
"61",9204253.2645559,9204253.2645559
"62",9205598.4617154,9205598.4617154
"63",9206932.51500268,9206932.51500268
"64",9208255.50339769,9208255.50339769
"65",9209567.50554853,9209567.50554853
"66",9210868.59976826,9210868.59976826
"67",9212158.86403192,9212158.86403192
"68",9213438.37597356,9213438.37597356
"69",9214707.21288349,9214707.21288349
"70",9215965.45170555,9215965.45170555
"71",9217213.16903462,9217213.16903462
"72",9218450.44111408,9218450.44111408
"73",9219677.34383356,9219677.34383356
"74",9220893.95272659,9220893.95272659
"75",9222100.34296856,9222100.34296856
"76",9223296.58937464,9223296.58937464
"77",9224482.76639785,9224482.76639785
"78",9225658.94812724,9225658.94812724
"79",9226825.20828614,9226825.20828614
"80",9227981.62023051,9227981.62023051
"81",9229128.25694739,9229128.25694739
"82",9230265.19105344,9230265.19105344
"83",9231392.49479356,9231392.49479356
"84",9232510.2400396,9232510.2400396
"85",9233618.49828913,9233618.49828913
"86",9234717.34066435,9234717.34066435
"87",9235806.83791102,9235806.83791102
"88",9236887.0603975,9236887.0603975
"89",9237958.07811386,9237958.07811386
"90",9239019.96067106,9239019.96067106
"91",9240072.77730023,9240072.77730023
"92",9241116.59685193,9241116.59685193
"93",9242151.48779567,9242151.48779567
"94",9243177.51821925,9243177.51821925
"95",9244194.75582837,9244194.75582837
"96",9245203.26794622,9245203.26794622
"97",9246203.12151312,9246203.12151312
"98",9247194.38308628,9247194.38308628
"99",9248177.11883953,9248177.11883953
"100",9249151.39456325,9249151.39456325
"101",9250117.27566418,9250117.27566418
"102",7952607.4163557,7952607.4163557
"103",6837098.69117683,6837098.69117683
"104",5878061.88153487,5878061.88153487
"105",5053548.74103858,5053548.74103858
"106",4344689.69411124,4344689.69411124
"107",3735261.99219699,3735261.99219699
"108",3211318.44450529,3211318.44450529
"109",2760868.22652948,2760868.22652948
"110",2373602.4614134,2373602.4614134
"111",2040658.29389833,2040658.29389833
"112",1754416.057513,1754416.057513
"113",1508324.8930322,1508324.8930322
"114",1296752.82735704,1296752.82735704
"115",1114857.88176447,1114857.88176447
"116",958477.259745456,958477.259745456
"117",824032.078416292,824032.078416292
"118",708445.46321256,708445.46321256
"119",609072.131404217,609072.131404217
"120",523637.852899867,523637.852899867
"121",450187.40285723,450187.40285723
"122",387039.814957942,387039.814957942
"123",332749.911285688,332749.911285688
"124",286075.228391335,286075.228391335
"125",245947.582624268,245947.582624268
"126",211448.623982129,211448.623982129
"127",181788.819011243,181788.819011243
"128",156289.381766303,156289.381766303
"129",134366.739306352,134366.739306352
"130",115519.176208769,115519.176208769
"131",99315.3524513768,99315.3524513768
"132",85384.4318861449,85384.4318861449
"133",73407.595387521,73407.595387521
"134",63110.7444476937,63110.7444476937
"135",54258.2282353194,54258.2282353194
"136",46647.4505569487,46647.4505569487
"137",40104.233297587,40104.233297587
"138",34478.8302293983,34478.8302293983
"139",29642.4999616985,29642.4999616985
"140",25484.5596017377,25484.5596017377
"141",21909.8516971815,21909.8516971815
"142",18836.5664894501,18836.5664894501
"143",16194.3696386186,16194.3696386186
"144",13922.7925715176,13922.7925715176
"145",11969.8486149932,11969.8486149932
"146",10290.8432435431,10290.8432435431
"147",8847.3512129908,8847.3512129908
"148",7606.33717116655,7606.33717116655
"149",6539.39962013917,6539.39962013917
